words,labels
"['Impaired', 'trafficking', 'and', 'subcellular', 'localization', 'of', 'a', 'mutant', 'lactase', 'associated', 'with', 'congenital', 'lactase', 'deficiency', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['BACKGROUND', '&', 'AIMS', ':', 'Congenital', 'lactase', 'deficiency', '(', 'CLD', ')', 'is', 'a', 'cause', 'of', 'disaccharide', 'intolerance', 'and', 'malabsorption', 'characterized', 'by', 'watery', 'diarrhea', 'in', 'infants', 'fed', 'breast', 'milk', 'or', 'lactose', '-', 'containing', 'formulas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'molecular', 'basis', 'of', 'CLD', 'is', 'unknown', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mutations', 'in', 'the', 'coding', 'region', 'of', 'the', 'brush', 'border', 'enzyme', 'lactase', 'phlorizin', 'hydrolase', '(', 'LPH', ')', 'were', 'found', 'to', 'cause', 'CLD', 'in', 'a', 'study', 'of', '19', 'Finnish', 'families', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'I-Protein', 'I-Protein', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['We', 'analyzed', 'the', 'effects', 'of', 'one', 'of', 'these', 'mutations', ',', 'G1363S', ',', 'on', 'LPH', 'folding', ',', 'trafficking', ',', 'and', 'function', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['METHODS', ':', 'We', 'introduced', 'a', 'mutation', 'into', 'the', 'LPH', 'complementary', 'DNA', 'that', 'resulted', 'in', 'the', 'amino', 'acid', 'substitution', 'G1363S', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'mutant', 'gene', 'was', 'transiently', 'expressed', 'in', 'COS', '-', '1', 'cells', ',', 'and', 'the', 'effects', 'were', 'assessed', 'at', 'the', 'protein', ',', 'structural', ',', 'and', 'subcellular', 'levels', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['RESULTS', ':', 'The', 'mutant', 'protein', 'LPH', '-', 'G1363S', 'was', 'misfolded', 'and', 'could', 'not', 'exit', 'the', 'endoplasmic', 'reticulum', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Interestingly', ',', 'the', 'mutation', 'creates', 'an', 'additional', 'N', '-', 'glycosylation', 'site', 'that', 'is', 'characteristic', 'of', 'a', 'temperature', '-', 'sensitive', 'protein', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'intracellular', 'transport', 'and', 'enzymatic', 'activity', ',', 'but', 'not', 'correct', 'folding', ',', 'of', 'LPH', '-', 'G1363S', 'were', 'partially', 'restored', 'by', 'expression', 'at', '20', 'degrees', 'C', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['However', ',', 'a', 'form', 'of', 'LPH', 'that', 'contains', 'the', 'mutations', 'G1363S', 'and', 'N1361A', ',', 'which', 'eliminates', 'the', 'N', '-', 'glycosylation', 'site', ',', 'did', 'not', 'restore', 'the', 'features', 'of', 'wild', '-', 'type', 'LPH', '.']","['O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O']"
"['Thus', ',', 'the', 'additional', 'glycosyl', 'group', 'is', 'not', 'required', 'for', 'the', 'LPH', '-', 'G1363S', 'defects', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O']"
"['CONCLUSIONS', ':', 'This', 'is', 'the', 'first', 'characterization', ',', 'at', 'the', 'molecular', 'and', 'subcellular', 'levels', ',', 'of', 'a', 'mutant', 'form', 'of', 'LPH', 'that', 'is', 'involved', 'in', 'the', 'pathogenesis', 'of', 'CLD', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mutant', 'LPH', 'accumulates', 'predominantly', 'in', 'the', 'endoplasmic', 'reticulum', 'but', 'can', 'partially', 'mature', 'at', 'a', 'permissive', 'temperature', ';', 'these', 'features', 'are', 'unique', 'for', 'a', 'protein', 'involved', 'in', 'a', 'carbohydrate', 'malabsorption', 'defect', 'implicating', 'LPH', '.']","['O', 'B-Protein', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Protein', 'O']"
